EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EID,MANAGEMENT_LEVEL,CAPABILITY,PROJECT_NAME,MANAGER_EID,TARGET_CERTIFICATION,1ST_TARGET_CERTIFICATION_DATE,CURRENT_PROGRESS,WITH_VOUCHER?,1ST_TAKE_RESULT,RETAKE_EXAM_DATE,RETAKE_RESULT,EXPIRATION_DATE,Fiscal Year,Month,Quarter
11,Nichole,Cannon,nichole.cannon,12,Data,10X Capital Venture Acquisition Corp III - Equity Warrant,carl.schroeder,Microsoft - Azure Data Engineer Associate,4/7/2023,Passed,Yes,Passed,,,4/7/2026,FY23,April,Q3
12,Bernard,Ritter,bernard.ritter,12,Data,10x Genomics,jenna.dodson,Google - Cloud Digital Leader,8/7/2023,Passed,Yes,Failed/For Retake,8/30/2023,Passed,8/30/2026,FY23,August,Q4
13,Darryl,Archer,darryl.archer,12,Data,111 - Depositary Receipt (Common Stock),tracey.mata,Google - Cloud Digital Leader,8/3/2023,Passed,Yes,Failed/For Retake,8/31/2023,Passed,8/31/2026,FY23,August,Q4
14,Ryan,Li,ryan.li,12,Data,1399 Internet Technology Application Group ,kristine.cox,Google - Cloud Digital Leader,8/10/2023,Passed,Yes,Failed/For Retake,9/25/2023,Passed,9/25/2026,FY24,September,Q1
15,Vicki,Nunez,vicki.nunez,12,Data,141 Capital,faith.lutz,AWS Certified Cloud Practitioner,6/16/2023,Passed,Yes,Failed/For Retake,7/29/2023,Passed,7/29/2026,FY23,July,Q4
16,Sean,Townsend,sean.townsend,12,Data,1511419 Ontario ,miranda.beasley,AWS Certified Cloud Practitioner,6/12/2023,Passed,Yes,Failed/For Retake,8/5/2023,Passed,8/5/2026,FY23,August,Q4
17,Sophia,Mathis,sophia.mathis,12,Data,1606 Corp,caroline.foley,AWS Certified Cloud Practitioner,9/17/2023,Passed,Yes,Failed/For Retake,9/17/2023,Passed,9/17/2026,FY24,September,Q1
18,Helen,Potts,helen.potts,12,AI,17 Education & Technology Group  - Depositary Receipt (Common Stock),greg.mata,Microsoft - Azure Data Fundamentals,6/7/2023,Passed,Yes,Failed/For Retake,8/14/2023,Passed,8/14/2026,FY23,August,Q4
19,Joann,Finley,joann.finley,12,AI,180 Degree Capital Corp,clifford.jacobson,Google - Associate Cloud Engineer,10/31/2023,Passed,Yes,Passed,,,10/31/2026,FY24,October,Q1
20,Thomas,Walsh,thomas.walsh,12,AI,180 Life Sciences Corp,joanna.kirk,Google - Associate Cloud Engineer,11/7/2023,Passed,Yes,Passed,,,11/7/2026,FY24,November,Q1
21,Cristina,Lam,cristina.lam,12,AI,180 Life Sciences Corp - Equity Warrant,maxwell.frye,Google - Associate Cloud Engineer,10/30/2023,Passed,Yes,Passed,,,10/30/2026,FY24,October,Q1
22,Vicki,Heath,vicki.heath,12,AI,1812 Brewing Company ,kiara.houston,Google - Cloud Digital Leader,8/31/2023,Passed,Yes,Passed,,,8/31/2026,FY23,August,Q4
23,Glenn,Wang,glenn.wang,12,AI,1847 Holdings LLC,colleen.howard,Google - Associate Cloud Engineer,11/22/2023,Passed,Yes,Passed,,,11/22/2026,FY24,November,Q1
24,Darius,Benitez,darius.benitez,12,AI,1867 Western Financial Corporation,janet.valenzuela,Google - Associate Cloud Engineer,10/31/2023,Passed,Yes,Failed/For Retake,12/15/2023,Passed,12/15/2026,FY24,December,Q2
25,Xavier,Cruz,xavier.cruz,12,AI,1895 Bancorp of Wisconsin,shane.wilcox,Google - Associate Cloud Engineer,12/2/2023,Passed,Yes,Passed,,,12/2/2026,FY24,December,Q2
26,Douglas,Galloway,douglas.galloway,12,AI,1911 Gold Corporation,marcus.moody,Google - Associate Cloud Engineer,11/19/2023,Passed,Yes,Failed/For Retake,12/10/2023,Passed,12/10/2026,FY24,December,Q2
27,Phyllis,Becker,phyllis.becker,12,AI,1933 Industries ,dakota.poole,Microsoft - Azure Data Fundamentals,10/13/2022,Passed,Yes,Passed,,,10/13/2025,FY23,October,Q1
28,Ebony,Murphy,ebony.murphy,12,AI,1CM ,frederick.harper,Google - Associate Cloud Engineer,1/7/2024,Passed,Yes,Passed,,,1/7/2027,FY24,January,Q2
29,Tyler,Stevenson,tyler.stevenson,12,AI,1mage Software,stefanie.fitzpatrick,Google - Cloud Digital Leader,8/21/2023,Passed,Yes,Passed,,,8/21/2026,FY23,August,Q4
30,Cesar,Bernard,cesar.bernard,12,AI,1PM Industries,kent.bradshaw,Google - Associate Cloud Engineer,1/14/2024,Passed,Yes,Passed,,,1/14/2027,FY24,January,Q2
31,Darrell,Santos,darrell.santos,12,AI,1st Capital Bancorp,jack.tate,Google - Associate Cloud Engineer,11/30/2022,Passed,Yes,Passed,,,11/30/2025,FY23,November,Q1
32,Amanda,Santiago,amanda.santiago,12,AI,1st Colonial Bancorp,tom.trujillo,Google - Associate Cloud Engineer,1/21/2024,Passed,Yes,Passed,,,1/21/2027,FY24,January,Q2
33,Marcus,Mcdonald,marcus.mcdonald,12,AI,1st Federal Savings Bank of SC,gabriel.mejia,Google - Associate Cloud Engineer,12/10/2023,Passed,Yes,Passed,,,12/10/2026,FY24,December,Q2
34,Lauren,Montes,lauren.montes,12,AI,1st NRG Corp,kaitlyn.santana,Google - Associate Cloud Engineer,11/30/2023,Passed,Yes,Passed,,,11/30/2026,FY24,November,Q1
35,Brent,Hinton,brent.hinton,12,AI,1st Source Corporation,faith.moon,Google - Associate Cloud Engineer,11/30/2023,Passed,Yes,Failed/For Retake,12/30/2023,Passed,12/30/2026,FY24,December,Q2
36,Jill,Mayo,jill.mayo,12,AI,1ST SUMMIT BANCORP of Johnstown,tammie.haley,Google - Associate Cloud Engineer,11/30/2023,Passed,Yes,Passed,,,11/30/2026,FY24,November,Q1
37,Herbert,Byrd,herbert.byrd,12,AI,1stdibsCom,nicholas.sosa,Google - Associate Cloud Engineer,12/7/2023,Passed,Yes,Passed,,,12/7/2026,FY24,December,Q2
38,Don,Krueger,don.krueger,12,AI,2020 Bulkers ,jordan.gay,Google - Professional Cloud Data Engineer,6/21/2024,Passed,Yes,Passed,,,6/21/2027,FY24,June,Q4
39,Cheryl,Gonzales,cheryl.gonzales,12,AI,21Shares AG - Amun Ripple (xrp) ETN,bruce.esparza,Google - Associate Cloud Engineer,1/7/2024,Passed,Yes,Passed,,,1/7/2027,FY24,January,Q2
40,Rickey,Mays,rickey.mays,12,AI,22nd Century ,sherry.garza,Microsoft - Azure AI Fundamentals,1/13/2022,Passed,Yes,Passed,,,1/13/2025,FY22,January,Q2
41,Cassidy,Dillon,cassidy.dillon,12,AI,23andMe Holding ,natalie.gentry,Microsoft - Azure AI Engineer Associate,11/26/2022,Passed,Yes,Passed,,,11/26/2025,FY23,November,Q1
42,Christina,Bautista,christina.bautista,12,AI,24SevenOffice Group AB (publ),bryan.dunn,Microsoft - Azure AI Engineer Associate,11/25/2023,Passed,Yes,Passed,,,11/25/2026,FY24,November,Q1
43,Alexandra,Castro,alexandra.castro,12,AI,286 Lenox Partners LLC,wayne.simpson,Google - Cloud Digital Leader,5/27/2024,Failed,Yes,Failed/For Retake,9/15/2023,Failed,,FY24,May,Q3
44,Krystal,Mendoza,krystal.mendoza,12,AI,29Metals ,luis.greer,Google - Cloud Digital Leader,10/2/2023,Failed,Yes,Failed/For Retake,12/22/2023,Failed,,FY24,October,Q1
45,Ivan,Schroeder,ivan.schroeder,12,AI,2seventy bio,rhonda.frost,Google - Cloud Digital Leader,12/2/2023,Failed,Yes,Failed/For Retake,12/22/2023,Failed,,FY24,December,Q2
46,Stephanie,Bradshaw,stephanie.bradshaw,12,AI,2U,joanne.montes,Google - Cloud Digital Leader,6/18/2023,Failed,Yes,Failed/For Retake,11/10/2023,Failed,,FY23,June,Q4
47,Levi,Grimes,levi.grimes,12,AI,3 Sixty Risk Solutions ,geoffrey.guzman,Google - Cloud Digital Leader,9/23/2023,In progress - 1st take,Requested,,,,,FY23,September,Q1
48,Peter,Sosa,peter.sosa,12,AI,361 Degrees International ,gloria.mccall,Google - Associate Cloud Engineer,8/7/2023,In progress - 1st take,Requested,,,,,FY23,August,Q4
49,Valerie,Haney,valerie.haney,12,AI,36Kr Holdings  - Depositary Receipt (Common Stock),brady.cohen,Google - Cloud Digital Leader,5/16/2023,In progress - 1st take,Requested,,,,,FY23,May,Q3
50,Tom,Gardner,tom.gardner,12,AI,37 Capital ,latoya.mccann,AWS Certified Cloud Practitioner,6/1/2023,In progress - 1st take,Requested,,,,,FY23,June,Q4
51,Randall,Galloway,randall.galloway,12,AI,374Water ,gerald.hawkins,Google - Cloud Digital Leader,8/4/2023,Failed,Yes,Failed/For Retake,8/25/2023,Failed,,FY23,August,Q4
52,Perry,Whitaker,perry.whitaker,12,AI,3D Pioneer Systems ,samuel.crawford,AWS Certified Cloud Practitioner,8/8/2023,Failed,Yes,Failed/For Retake,9/16/2023,Failed,,FY23,August,Q4
53,Gloria,Mosley,gloria.mosley,12,AI,3D Systems Corporation,patricia.goodwin,Google - Associate Cloud Engineer,12/18/2023,Failed,Yes,Failed/For Retake,1/27/2024,Failed,,FY24,December,Q2
54,Cameron,Little,cameron.little,12,AI,3DShoppingcom,stacie.richard,Google - Associate Cloud Engineer,3/27/2023,Failed,Yes,Failed/For Retake,11/26/2023,Failed,,FY23,March,Q3
55,Glen,Gonzalez,glen.gonzalez,12,AI,3DX Industries,robin.west,Google - Associate Cloud Engineer,12/20/2023,Failed,Yes,Failed/For Retake,1/28/2024,Failed,,FY24,December,Q2
56,Melvin,Day,melvin.day,12,AI,3i Group plc,ralph.haas,Google - Associate Cloud Engineer,8/25/2023,Failed,Yes,Failed/For Retake,12/6/2023,Failed,,FY23,August,Q4
57,Kent,Salinas,kent.salinas,12,AI,3i Group plc - Depositary Receipt (Common Stock),phyllis.maldonado,Google - Associate Cloud Engineer,10/9/2023,Failed,Yes,Failed/For Retake,11/17/2023,Failed,,FY24,October,Q1
58,Stacey,Martinez,stacey.martinez,12,AI,3iQ Bitcoin ETF,danny.parrish,Google - Associate Cloud Engineer,6/20/2023,Failed,Yes,Failed/For Retake,12/5/2023,Failed,,FY23,June,Q4
59,Jennifer,Fleming,jennifer.fleming,12,AI,3M Company,kathy.hill,Google - Associate Cloud Engineer,11/22/2023,Failed,Yes,Failed/For Retake,1/29/2024,Failed,,FY24,November,Q1
60,Teresa,Oconnell,teresa.oconnell,12,AI,3Power Energy ,kelli.hardy,Google - Associate Cloud Engineer,6/10/2023,Failed,Yes,Failed/For Retake,12/11/2023,Failed,,FY23,June,Q4
61,Bruce,Bass,bruce.bass,12,AI,3SBio ,lynn.pham,Google - Associate Cloud Engineer,11/30/2023,Failed,Yes,Failed/For Retake,12/29/2023,Failed,,FY24,November,Q1
62,Sarah,Sweeney,sarah.sweeney,12,AI,420 Property Management,shelley.harris,Google - Cloud Digital Leader,6/28/2023,Not Started,No,,,,,FY23,June,Q4
63,Eddie,Salinas,eddie.salinas,12,AI,49 North Resources ,eddie.jimenez,Google - Cloud Digital Leader,1/11/2024,Not Started,No,,,,,FY24,January,Q2
64,Trevor,Rowland,trevor.rowland,12,AI,4Cable TV International,chloe.hutchinson,Google - Cloud Digital Leader,5/26/2023,Not Started,No,,,,,FY23,May,Q3
65,Marcus,Chang,marcus.chang,12,AI,4D Molecular Therapeutics,eileen.lynch,Google - Cloud Digital Leader,9/9/2023,Not Started,No,,,,,FY24,September,Q1
66,Sabrina,Roberts,sabrina.roberts,12,AI,4D pharma plc - Equity Warrant,fernando.lambert,Google - Cloud Digital Leader,7/7/2023,Failed,Yes,Failed/For Retake,12/24/2023,Failed,,FY23,July,Q4
67,Norman,French,norman.french,12,AI,4DMedical ,makayla.cannon,Google - Cloud Digital Leader,8/11/2023,Failed,Yes,Failed/For Retake,12/22/2023,Failed,,FY23,August,Q4
68,Lonnie,Novak,lonnie.novak,11,AI,4DS Memory ,tom.alvarado,Microsoft - Azure Data Fundamentals,9/13/2023,Failed,Yes,Failed/For Retake,12/28/2023,Failed,,FY24,September,Q1
69,Casey,Bauer,casey.bauer,11,AI,4Front Ventures Corp,virginia.dudley,Google - Associate Cloud Engineer,12/19/2022,Failed,Yes,Failed/For Retake,12/30/2022,Failed,,FY23,December,Q2
70,David,Goodman,david.goodman,11,AI,4imprint Group plc,riley.good,AWS Certified Cloud Practitioner,1/30/2024,Failed,Yes,Failed/For Retake,2/11/2024,Failed,,FY24,January,Q2
71,Garrett,Rosario,garrett.rosario,11,AI,51Talk Online Education Group - Depositary Receipt (Common Stock),alexandria.buck,Google - Associate Cloud Engineer,12/23/2023,Failed,Yes,Failed/For Retake,2/10/2024,Failed,,FY24,December,Q2
72,Colin,Vaughan,colin.vaughan,11,AI,5:01 Acquisition Corp,richard.roth,AWS Certified Cloud Practitioner,2/22/2024,In progress - 2nd take,Requested,Failed/For Retake,8/6/2024,,,FY24,February,Q2
73,Maxwell,Griffin,maxwell.griffin,11,AI,5E Advanced Materials,candice.keller,Google - Associate Cloud Engineer,8/30/2023,In progress - 2nd take,Requested,Failed/For Retake,8/6/2024,,,FY23,August,Q4
74,Diamond,Barnett,diamond.barnett,11,AI,5G Networks ,anita.benson,Google - Associate Cloud Engineer,1/23/2024,In progress - 2nd take,Requested,Failed/For Retake,8/6/2024,,,FY24,January,Q2
75,Kellie,Munoz,kellie.munoz,11,AI,5N Plus ,regina.stein,Microsoft - Azure AI Engineer Associate,10/20/2023,In progress - 2nd take,Requested,Failed/For Retake,8/6/2024,,,FY24,October,Q1
76,Sandy,Finley,sandy.finley,11,AI,5th Planet Games A/S,debra.riddle,Google - Associate Cloud Engineer,6/29/2023,In progress - 2nd take,Requested,Failed/For Retake,8/8/2024,,,FY23,June,Q4
77,Katelyn,Petersen,katelyn.petersen,11,AI,60 Degrees Pharmaceuticals,brittany.zuniga,Google - Associate Cloud Engineer,10/30/2023,In progress - 2nd take,Requested,Failed/For Retake,8/8/2024,,,FY24,October,Q1
78,Neil,Murray,neil.murray,11,AI,60 Degrees Pharmaceuticals - Equity Warrant,cassidy.mcmahon,Google - Professional Machine Learning Engineer,8/16/2023,In progress - 2nd take,Requested,Failed/For Retake,8/8/2024,,,FY23,August,Q4
79,Carlos,Wilcox,carlos.wilcox,11,AI,727 Communications,laurie.pennington,Google - Associate Cloud Engineer,3/26/2024,In progress - 1st take,No,,,,,FY24,March,Q3
80,Adrienne,Lamb,adrienne.lamb,11,AI,79North ,alejandro.blair,Google - Associate Cloud Engineer,6/5/2024,In progress - 1st take,No,,,,,FY24,June,Q4
81,Traci,Levy,traci.levy,11,AI,7C Solarparken AG,leslie.jennings,AWS Certified Solutions Architect - Associate,5/29/2023,In progress - 1st take,No,,,,,FY23,May,Q3
82,Tammy,Harmon,tammy.harmon,11,AI,8000 Inc,kathleen.mckay,Google - Associate Cloud Engineer,6/15/2023,In progress - 1st take,No,,,,,FY23,June,Q4
83,Nicholas,Arias,nicholas.arias,11,AI,808 Renewable Energy Corporation,hunter.moreno,Google - Associate Cloud Engineer,8/15/2023,In progress - 1st take,No,,,,,FY23,August,Q4
84,Sydney,Solis,sydney.solis,11,AI,88 Energy ,chad.davidson,AWS Certified Solutions Architect - Associate,6/17/2023,In progress - 1st take,No,,,,,FY23,June,Q4
85,Jody,Beltran,jody.beltran,11,AI,89bio,corey.holt,Microsoft - Azure AI Fundamentals,11/11/2023,In progress - 1st take,No,,,,,FY24,November,Q1
86,Autumn,Choi,autumn.choi,11,AI,8x8,emma.cunningham,Microsoft - Azure AI Fundamentals,5/4/2024,In progress - 1st take,No,,,,,FY24,May,Q3
87,Chelsey,Boyer,chelsey.boyer,11,AI,9 Meters Biopharma,duane.woods,Microsoft - Azure AI Fundamentals,3/11/2024,In progress - 1st take,No,,,,,FY24,March,Q3
88,Trevor,Key,trevor.key,11,AI,908 Devices ,alison.vargas,Google - Associate Cloud Engineer,1/7/2024,Passed,Yes,Passed,,,1/7/2027,FY24,January,Q2
89,Bridget,Molina,bridget.molina,11,AI,9342-8530 Québec ,vernon.kane,Google - Associate Cloud Engineer,10/31/2023,Passed,Yes,Passed,,,10/31/2026,FY24,October,Q1
90,Calvin,Rocha,calvin.rocha,11,AI,99 Acquisition Group ,lori.flowers,Google - Associate Cloud Engineer,10/27/2023,Passed,Yes,Passed,,,10/27/2026,FY24,October,Q1
91,Austin,Matthews,austin.matthews,11,AI,99 Acquisition Group  - Equity Right,nina.chavez,Microsoft - Azure AI Engineer Associate,11/30/2023,Passed,Yes,Passed,,,11/30/2026,FY24,November,Q1
92,Molly,Murphy,molly.murphy,11,AI,99 Acquisition Group  - Equity Warrant,shane.foley,Google - Associate Cloud Engineer,11/30/2022,Passed,Yes,Passed,,,11/30/2025,FY23,November,Q1
93,Jeremy,Haynes,jeremy.haynes,11,AI,9F  - Depositary Receipt (Common Stock),collin.ayers,Google - Cloud Digital Leader,8/4/2023,Passed,Yes,Passed,,,8/4/2026,FY23,August,Q4
94,Don,Henry,don.henry,11,AI,A SPAC II Acquisition Corp,sherry.young,Google - Associate Cloud Engineer,1/19/2024,Passed,Yes,Passed,,,1/19/2027,FY24,January,Q2
95,Dakota,Bowman,dakota.bowman,11,AI,A SPAC II Acquisition Corp - Equity Right,darrell.douglas,Google - Associate Cloud Engineer,11/11/2023,Passed,Yes,Passed,,,11/11/2026,FY24,November,Q1
96,Manuel,Maynard,manuel.maynard,11,AI,A SPAC II Acquisition Corp - Equity Warrant,karl.greer,Google - Cloud Digital Leader,3/22/2023,Passed,Yes,Passed,,,3/22/2026,FY23,March,Q3
97,Howard,Simmons,howard.simmons,11,AI,A&W Revenue Royalties Income Fund,lynn.atkinson,Google - Associate Cloud Engineer,3/30/2024,Passed,Yes,Passed,,,3/30/2027,FY24,March,Q3
98,Jeffery,Wall,jeffery.wall,11,AI,A-Mark Precious Metals,fred.guerra,Google - Associate Cloud Engineer,11/30/2022,Passed,Yes,Passed,,,11/30/2025,FY23,November,Q1
99,Colleen,Estes,colleen.estes,11,AI,A-Sonic Aerospace ,yvonne.farmer,Google - Professional Machine Learning Engineer,12/22/2023,Passed,Yes,Passed,,,12/22/2026,FY24,December,Q2
100,Bianca,Henry,bianca.henry,11,AI,A O Smith Corporation,clarence.haynes,Google - Associate Cloud Engineer,1/14/2024,Passed,Yes,Passed,,,1/14/2027,FY24,January,Q2
101,Michelle,Good,michelle.good,11,AI,Yangtze River Port and Logistics ,sheryl.baxter,Google - Associate Cloud Engineer,1/31/2024,Passed,Yes,Passed,,,1/31/2027,FY24,January,Q2
102,Eileen,Skinner,eileen.skinner,11,AI,YanGuFang International Group ,preston.lozano,Google - Associate Cloud Engineer,2/29/2024,Passed,Yes,Passed,,,3/1/2027,FY24,February,Q2
103,Kyle,Richmond,kyle.richmond,11,AI,Yangzijiang Financial Holding ,roy.berry,Google - Associate Cloud Engineer,12/10/2023,Passed,Yes,Passed,,,12/10/2026,FY24,December,Q2
104,Omar,Davies,omar.davies,11,AI,Yangzijiang Shipbuilding (Holdings) ,linda.olsen,Google - Associate Cloud Engineer,12/11/2023,Passed,Yes,Passed,,,12/11/2026,FY24,December,Q2
105,Chelsea,Giles,chelsea.giles,11,AI,Yankuang Energy Group Company ,joanna.bender,Google - Associate Cloud Engineer,12/2/2023,Passed,Yes,Passed,,,12/2/2026,FY24,December,Q2
106,Pam,Crane,pam.crane,11,AI,Yankuang Energy Group Company  - Depositary Receipt (Common Stock),aimee.downs,Microsoft - Azure Data Fundamentals,12/8/2022,Passed,Yes,Passed,,,12/8/2025,FY23,December,Q2
107,Sandy,Kaufman,sandy.kaufman,11,AI,01 Communique Laboratory ,darren.peck,Google - Associate Cloud Engineer,2/6/2024,Passed,Yes,Passed,,,2/6/2027,FY24,February,Q2
108,Madison,Clark,madison.clark,11,AI,0187279 BC ,brett.mullen,Google Cloud Certified - Associate Cloud Engineer,3/30/2024,Passed,Yes,Passed,,,3/30/2027,FY24,March,Q3
109,Leah,Coffey,leah.coffey,11,AI,1-800-FLOWERSCOM,sheryl.meyers,Google Cloud Certified - Associate Cloud Engineer,9/29/2023,Passed,Yes,Passed,,,9/29/2026,FY23,September,Q1
110,Julie,Montgomery,julie.montgomery,11,AI,10X Capital Venture Acquisition Corp III,michelle.gallagher,Google Cloud Certified - Associate Cloud Engineer,1/15/2024,Passed,Yes,Passed,,,1/15/2027,FY24,January,Q2
111,Darrell,Small,darrell.small,11,AI,10X Capital Venture Acquisition Corp III - Equity Warrant,carl.schroeder,Amazon Web Services (AWS) Certified Cloud Practitioner,12/18/2023,Passed,Yes,Passed,,,12/18/2026,FY24,December,Q2
112,Andrew,Bolton,andrew.bolton,11,AI,10x Genomics,jenna.dodson,Google Cloud Certified - Associate Cloud Engineer,12/10/2023,Passed,Yes,Passed,,,12/10/2026,FY24,December,Q2
113,Jaime,Hayden,jaime.hayden,11,AI,111 - Depositary Receipt (Common Stock),tracey.mata,Google Cloud Certified - Associate Cloud Engineer,12/8/2022,Passed,Yes,Passed,,,12/8/2025,FY23,December,Q2
114,Logan,Carney,logan.carney,11,AI,1399 Internet Technology Application Group ,kristine.cox,Google Cloud Certified - Associate Cloud Engineer,12/18/2023,Passed,Yes,Passed,,,12/18/2026,FY24,December,Q2
115,Pedro,Franco,pedro.franco,11,AI,141 Capital,faith.lutz,Microsoft Certified: Azure Data Scientist Associate,1/6/2024,Passed,Yes,Passed,,,1/6/2027,FY24,January,Q2
116,Daryl,Meza,daryl.meza,11,AI,1511419 Ontario ,miranda.beasley,Microsoft Certified: Azure AI Engineer Associate,12/8/2022,Passed,Yes,Passed,,,12/8/2025,FY23,December,Q2
117,Haley,Levine,haley.levine,11,AI,1606 Corp,caroline.foley,Microsoft Certified: Azure AI Engineer Associate,12/30/2023,Passed,Yes,Passed,,,12/30/2026,FY24,December,Q2
118,Caitlyn,Vazquez,caitlyn.vazquez,11,AI,17 Education & Technology Group  - Depositary Receipt (Common Stock),greg.mata,Microsoft Certified: Azure AI Engineer Associate,3/30/2024,Not Started,No,,,,,FY24,March,Q3
119,Keith,Combs,keith.combs,11,AI,180 Degree Capital Corp,clifford.jacobson,Microsoft Certified: Azure AI Fundamentals,10/22/2023,Not Started,No,,,,,FY24,October,Q1
120,Hayden,Cline,hayden.cline,11,AI,180 Life Sciences Corp,joanna.kirk,Microsoft Certified: Azure AI Fundamentals,12/10/2023,Not Started,No,,,,,FY24,December,Q2
121,Jeanette,Sanford,jeanette.sanford,11,AI,180 Life Sciences Corp - Equity Warrant,maxwell.frye,Microsoft Certified: Azure AI Fundamentals,11/25/2023,Not Started,No,,,,,FY24,November,Q1
122,Brandon,Richmond,brandon.richmond,11,AI,1812 Brewing Company ,kiara.houston,Microsoft Certified: Azure AI Fundamentals,4/16/2024,Not Started,No,,,,,FY24,April,Q3
123,Latasha,Miller,latasha.miller,11,AI,1847 Holdings LLC,colleen.howard,Microsoft Certified: Azure AI Fundamentals,9/26/2023,Not Started,No,,,,,FY24,September,Q1
124,Shaun,Luna,shaun.luna,11,AI,1867 Western Financial Corporation,janet.valenzuela,Microsoft Certified: Azure AI Fundamentals,6/26/2023,Not Started,No,,,,,FY23,June,Q4
125,Allen,Mayer,allen.mayer,11,AI,1895 Bancorp of Wisconsin,shane.wilcox,Microsoft Certified: Azure AI Fundamentals,5/22/2024,Not Started,No,,,,,FY24,May,Q3
126,Yvonne,Jordan,yvonne.jordan,11,AI,1911 Gold Corporation,marcus.moody,Microsoft Certified: Azure AI Fundamentals,5/7/2023,Not Started,No,,,,,FY23,May,Q3
127,Joanne,Miranda,joanne.miranda,11,AI,1933 Industries ,dakota.poole,Microsoft Certified: Azure AI Fundamentals,11/12/2023,Not Started,No,,,,,FY24,November,Q1
128,Jaclyn,Rice,jaclyn.rice,11,AI,1CM ,frederick.harper,Microsoft Certified: Azure AI Fundamentals,11/29/2023,Not Started,No,,,,,FY24,November,Q1
129,Glen,Conway,glen.conway,11,AI,1mage Software,stefanie.fitzpatrick,Microsoft Certified: Azure AI Fundamentals,12/22/2023,Not Started,No,,,,,FY24,December,Q2
130,Stacey,Travis,stacey.travis,11,AI,1PM Industries,kent.bradshaw,Microsoft Certified: Azure AI Fundamentals,6/19/2023,Not Started,No,,,,,FY23,June,Q4
131,Courtney,Hughes,courtney.hughes,11,AI,1st Capital Bancorp,jack.tate,Microsoft Certified: Azure AI Fundamentals,2/16/2024,Not Started,No,,,,,FY24,February,Q2
132,Raven,Nelson,raven.nelson,11,AI,1st Colonial Bancorp,tom.trujillo,Microsoft Certified: Azure AI Fundamentals,8/2/2023,Failed,Yes,Failed/For Retake,9/12/2023,Failed,,FY23,August,Q4
133,Kyle,Odonnell,kyle.odonnell,11,AI,1st Federal Savings Bank of SC,gabriel.mejia,Microsoft Certified: Azure AI Fundamentals,9/30/2023,Failed,Yes,Failed/For Retake,10/11/2023,Failed,,FY24,September,Q1
134,Sherry,Ponce,sherry.ponce,11,AI,1st NRG Corp,kaitlyn.santana,Microsoft Certified: Azure AI Fundamentals,6/25/2023,Failed,Yes,Failed/For Retake,9/12/2023,Failed,,FY23,June,Q4
135,Kirk,Villa,kirk.villa,11,AI,1st Source Corporation,faith.moon,Microsoft Certified: Azure AI Fundamentals,10/5/2023,Failed,Yes,Failed/For Retake,11/12/2023,Failed,,FY24,October,Q1
